Designator,Val,Package,Midx,Midy,Rotation,Layer
C1,0.1uf,C_0805_2012Metric,142.349000,-134.800000,90.000000,bottom
C2,0.1uf,C_0805_2012Metric,150.649000,-95.500000,270.000000,bottom
C3,1nf,C_0805_2012Metric,141.069000,-125.690000,90.000000,bottom
C4,0.1uf,C_0805_2012Metric,157.399000,-95.550000,270.000000,bottom
C5,0.1uf,C_0805_2012Metric,146.799000,-121.600000,180.000000,bottom
C6,2.2uf,C_0805_2012Metric,146.799000,-123.650000,180.000000,bottom
C7,0.1uf,C_0805_2012Metric,146.799000,-125.700000,180.000000,bottom
C8,0.1uf,C_0805_2012Metric,146.799000,-119.550000,0.000000,bottom
C9,4.7uf,C_0805_2012Metric,147.549000,-134.800000,270.000000,bottom
C10,0.1uf,C_0805_2012Metric,147.999000,-131.600000,180.000000,bottom
C11,9pf,C_0805_2012Metric,150.249000,-134.800000,270.000000,bottom
C12,9pf,C_0805_2012Metric,153.999000,-135.500000,0.000000,bottom
C13,10nf,C_0805_2012Metric,151.849000,-116.250000,90.000000,bottom
C14,0.1uf,C_0805_2012Metric,149.749000,-116.250000,90.000000,bottom
C15,100uf,CP_Elec_6.3x5.2,131.029000,-155.000000,180.000000,bottom
C16,100uf(NC),CP_Elec_6.3x5.2,177.059000,-155.030000,0.000000,bottom
D1,<300mv drop,D_TUMD2,132.419000,-118.010000,90.000000,bottom
D2,900mv drop,D_0201_0603Metric,140.019000,-117.950000,270.000000,bottom
L1,10uh,L_0805_2012Metric,146.849000,-129.300000,180.000000,bottom
LED1,LS_L29K-G1J2-1-Z,LED_0603_1608Metric,125.989000,-46.030000,270.000000,bottom
LED2,LS_L29K-G1J2-1-Z,LED_0603_1608Metric,182.139000,-46.050000,270.000000,bottom
LED4,LS_L29K-G1J2-1-Z,LED_0603_1608Metric,146.019000,-157.660000,90.000000,bottom
POGO1,PO pogos,813-22-012-30-004101-millmax-pogopins-2x6,154.049000,-62.500000,180.000000,bottom
R1,"5,1k",R_0805_2012Metric,158.519000,-149.720000,90.000000,bottom
R2,5.1k,R_0805_2012Metric,151.559000,-149.720000,270.000000,bottom
R3,27 5%,R_0805_2012Metric,156.199000,-149.720000,90.000000,bottom
R4,10k,R_0805_2012Metric,131.539000,-57.090000,180.000000,bottom
R5,10k,R_0805_2012Metric,175.329000,-58.020000,270.000000,bottom
R6,4.7k,R_0805_2012Metric,145.349116,-62.481906,270.000000,bottom
R7,27 5%,R_0805_2012Metric,153.879000,-149.720000,270.000000,bottom
R8,10k,R_0805_2012Metric,137.789000,-57.100000,180.000000,bottom
R9,1,R_0805_2012Metric,144.799000,-132.150000,270.000000,bottom
R10,10k,R_0805_2012Metric,172.839000,-58.020000,90.000000,bottom
U4,ATSAM4S8BB-MN,QFN-64-1EP_9x9mm_P0.5mm_EP6x6mm_ThermalVias,154.736500,-124.272500,0.000000,bottom
led3,LS_L29K-G1J2-1-Z,LED_0603_1608Metric,154.049000,-50.500000,180.000000,bottom